TESTCASE ID , FUNCTIONALITY NAME , SITE NAME , SITE CODE , PNR NO , STATUS , ERROR MESSAGE 
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,CHENNAI,MAS,4804332665,failed,error Error : [134381610] - FLUSHED PNR / PNR NOT ,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,KOLKATA,HWH,6641074607,passed,null,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,KOLKATA,HWH,6141074588,passed,null,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,KOLKATA,HWH,6641074608,passed,null,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,DELHI,NDLS,2109696867,passed,null,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,DELHI,NDLS,2756995807,passed,null,
TC_CL_CURRENT_STATUSOFPSGN_ENQ,Current Status Of Passengers,MUMBAI,MMCT,8804332665,passed,null,
TESTCASE ID , FUNCTIONALITY NAME , SITE NAME , SITE CODE , STATUS , ERROR MESSAGE 
TC_CL_Fare_ENQ,Fare Enquiry,CHENNAI,MAS,passed,null,
TC_CL_Fare_ENQ,Fare Enquiry,KOLKATA,HWH,passed,null,
TC_CL_Fare_ENQ,Fare Enquiry,DELHI,NDLS,passed,null,
TC_CL_Fare_ENQ,Fare Enquiry,MUMBAI,MMCT,passed,null,
